Birth Rate,Business Tax Rate,CO2 Emissions,PopXbirth rate,Country,Days to Start Business,Ease of Business,Energy Usage,gdp,Health Exp % GDP,Health Exp/Capita,Hours to do Tax (bin),Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage (bin),Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
3.80%,36.30%,8236,1079116.856,Afghanistan,7,,,15936784436,8.70%,$43 ,226,275,7.50%,0,15.70%,61,58,0.4,0.5,1,48.60%,49.20%,2.20%,28397812,24.70%,Asia,"$138,000,000 ","$86,000,000 ",2010
3.70%,36.30%,,1076902.76,Afghanistan,7,,,17870159082,8.40%,$48 ,226,275,7.40%,0.1,15.10%,61,59,0.6,0.6,1,48.10%,49.70%,2.20%,29105480,25.10%,Asia,"$137,000,000 ","$127,000,000 ",2011
3.50%,36.30%,,1043858.76,Afghanistan,7,170,,20506795254,8.60%,$51 ,226,275,7.20%,0.1,15.00%,62,59,0.6,0.7,1,47.40%,50.30%,2.30%,29824536,25.50%,Asia,"$116,000,000 ","$80,000,000 ",2012
1.90%,,3022,58691.513,Albania,,,1763,3686649387,6.40%,$70 ,,,2.30%,0,22.10%,77,71,0,0,1,30.30%,62.80%,6.80%,3089027,41.70%,Europe,"$398,000,000 ","$290,000,000 ",2000
1.80%,,3223,55153.998,Albania,,,1783,4091020249,6.00%,$75 ,,,2.20%,0,19.70%,78,72,0.1,0.1,1,29.70%,63.20%,7.10%,3064111,42.40%,Europe,"$451,000,000 ","$269,000,000 ",2001
1.70%,,3751,51874.259,Albania,,,1975,4449373456,6.50%,$89 ,,,2.10%,0,15.30%,78,72,0.3,0.3,1,29.00%,63.60%,7.50%,3051427,43.50%,Europe,"$492,000,000 ","$386,000,000 ",2002
1.60%,,4294,48538.544,Albania,41,,1976,5652325082,6.20%,$108 ,,,2.00%,0,14.30%,79,72,0.3,0.3,1,28.20%,64.00%,7.80%,3033659,44.60%,Europe,"$537,000,000 ","$507,000,000 ",2003
1.50%,,4166,45218.685,Albania,41,,2172,7464446950,6.50%,$148 ,,,1.90%,0,11.80%,79,73,0.3,0.4,1,27.30%,64.50%,8.20%,3014579,45.70%,Europe,"$756,000,000 ","$669,000,000 ",2004
1.40%,58.20%,4254,41898.136,Albania,41,,2172,8376483740,6.30%,$160 ,339,364,1.80%,0.1,13.10%,79,73,0.4,0.5,1,26.50%,64.90%,8.50%,2992724,46.70%,Europe,"$880,000,000 ","$808,000,000 ",2005
1.40%,56.50%,3865,41552.392,Albania,39,,2068,9132562332,6.00%,$168 ,339,364,1.70%,0.1,12.90%,80,73,0.6,0.6,1,25.80%,65.40%,8.90%,2968028,47.80%,Europe,"$1,057,000,000 ","$989,000,000 ",2006
1.30%,45.90%,4056,38231.44,Albania,36,,2025,10701011856,6.40%,$218 ,339,364,1.70%,0.2,14.10%,80,73,0.7,0.7,1,25.00%,65.80%,9.20%,2940880,48.90%,Europe,"$1,479,000,000 ","$1,331,000,000 ",2007
1.30%,46.20%,4129,37863.267,Albania,9,,2061,12881352688,6.10%,$251 ,339,368,1.60%,0.2,13.00%,80,74,0.6,0.6,1,24.30%,66.20%,9.50%,2912559,50.00%,Europe,"$1,848,000,000 ","$1,644,000,000 ",2008
1.30%,37.00%,3880,37495.939,Albania,6,,2068,12044212904,6.00%,$230 ,339,368,1.50%,0.4,12.70%,80,74,0.8,0.8,1,23.60%,66.60%,9.80%,2884303,51.10%,Europe,"$2,014,000,000 ","$1,693,000,000 ",2009
1.30%,33.10%,4283,37136.749,Albania,6,,2059,11926953259,5.50%,$207 ,339,360,1.50%,0.5,12.80%,80,74,0.8,0.9,1,22.80%,67.10%,10.10%,2856673,52.20%,Europe,"$1,780,000,000 ","$1,454,000,000 ",2010
1.30%,31.50%,,36781.381,Albania,6,,2173,12890867763,6.00%,$243 ,339,371,1.40%,0.5,12.40%,80,74,0.9,1,1,22.10%,67.60%,10.30%,2829337,53.20%,Europe,"$1,833,000,000 ","$1,678,000,000 ",2011
1.30%,32.00%,,36421.853,Albania,5,82,,12344532541,6.00%,$228 ,339,357,1.40%,0.5,10.90%,80,74,1.1,1.1,1,21.30%,68.10%,10.60%,2801681,54.30%,Europe,"$1,623,000,000 ","$1,374,000,000 ",2012
2.00%,,87931,634388.98,Algeria,,,26998,54790058957,3.50%,$60 ,,,3.40%,0,10.00%,71,67,0,0,1,34.20%,61.90%,3.90%,31719449,59.90%,Africa,"$102,000,000 ","$193,000,000 ",2000
1.90%,,84293,610853.762,Algeria,,,27072,54744716706,3.80%,$65 ,,,3.30%,0,9.50%,71,68,0,0,1,33.00%,63.00%,4.00%,32150198,60.70%,Africa,"$100,000,000 ","$194,000,000 ",2001
1.90%,,90854,618886.563,Algeria,,,28773,56760288962,3.70%,$65 ,,,3.20%,0,8.60%,71,68,0,0,1,31.80%,64.10%,4.10%,32572977,61.50%,Africa,"$111,000,000 ","$248,000,000 ",2002
2.00%,,92533,660068.84,Algeria,25,,30698,67863832648,3.60%,$74 ,,,3.10%,0,8.10%,71,68,0,0,1,30.70%,65.10%,4.20%,33003442,62.30%,Africa,"$112,000,000 ","$255,000,000 ",2003
2.00%,,89493,669226.9,Algeria,25,,30974,85324997370,3.50%,$90 ,,,3.00%,0,8.00%,71,68,0.1,0.1,1,29.70%,66.00%,4.30%,33461345,63.10%,Africa,"$178,000,000 ","$341,000,000 ",2004
2.10%,76.90%,107128,713178.963,Algeria,25,,32335,1.03E+11,3.10%,$95 ,339,451,2.90%,0.1,8.00%,71,68,0.3,0.4,1,28.90%,66.70%,4.40%,33960903,63.80%,Africa,"$477,000,000 ","$660,000,000 ",2005
2.20%,76.90%,103963,759158.708,Algeria,25,,34658,1.17E+11,3.10%,$106 ,339,451,2.80%,0.1,8.00%,72,68,0.6,0.6,1,28.20%,67.30%,4.50%,34507214,64.60%,Africa,"$393,000,000 ","$414,000,000 ",2006
2.30%,74.20%,112339,807231.989,Algeria,25,,36793,1.35E+11,3.50%,$135 ,339,451,2.60%,0.1,8.00%,72,69,0.8,0.8,1,27.70%,67.70%,4.60%,35097043,65.30%,Africa,"$332,000,000 ","$504,000,000 ",2007
2.40%,73.80%,114619,857409.048,Algeria,25,,37425,1.71E+11,3.80%,$183 ,339,451,2.50%,0.1,8.00%,72,69,0.8,0.8,1,27.40%,68.00%,4.70%,35725377,66.10%,Africa,"$474,000,000 ","$617,000,000 ",2008
2.40%,72.00%,124586,873199.248,Algeria,25,,40823,1.37E+11,4.60%,$174 ,339,451,2.40%,0.1,8.00%,72,69,0.8,0.9,1,27.20%,68.10%,4.70%,36383302,66.80%,Africa,"$381,000,000 ","$574,000,000 ",2009
2.50%,72.00%,123475,926570.5,Algeria,25,,40105,1.61E+11,4.20%,$181 ,339,451,2.40%,0.1,8.00%,72,69,0.8,0.9,1,27.10%,68.10%,4.70%,37062820,67.50%,Africa,"$323,000,000 ","$737,000,000 ",2010
2.50%,72.00%,,944074.05,Algeria,25,,41852,1.99E+11,4.40%,$233 ,339,451,2.30%,0.1,8.00%,72,69,0.9,0.9,1,27.20%,68.10%,4.70%,37762962,68.20%,Africa,"$300,000,000 ","$571,000,000 ",2011
2.50%,71.90%,,962042.625,Algeria,25,151,,2.04E+11,5.20%,$279 ,339,451,2.20%,0.2,8.00%,73,69,0.9,1,1,27.40%,67.90%,4.70%,38481705,68.90%,Africa,"$295,000,000 ","$559,000,000 ",2012
,,,,American Samoa,,,,,,,,,,,,,,0,0,1,,,,57522,88.60%,Oceania,,,2000
,,,,American Samoa,,,,,,,,,,,,,,0,0,1,,,,58176,88.50%,Oceania,,,2001
,,,,American Samoa,,,,,,,,,,,,,,0,0,1,,,,58729,88.40%,Oceania,,,2002
,,,,American Samoa,,,,,,,,,,,,,,0,0,1,,,,59117,88.30%,Oceania,,,2003
,,,,American Samoa,,,,,,,,,,,,,,0,0,1,,,,59262,88.20%,Oceania,,,2004
,,,,American Samoa,,,,,,,,,,,,,,,,1,,,,59117,88.10%,Oceania,,,2005
2.20%,,,1290.344,American Samoa,,,,,,,,,,,,,,,,1,,,,58652,88.00%,Oceania,,,2006
,,,,American Samoa,,,,,,,,,,,,,,,,1,,,,57919,87.90%,Oceania,,,2007
,,,,American Samoa,,,,,,,,,,,,,,,,1,,,,57053,87.80%,Oceania,,,2008
,,,,American Samoa,,,,,,,,,,,,,,,,1,,,,56245,87.70%,Oceania,,,2009
1.90%,,,1057.084,American Samoa,,,,,,,,,,,,,,,,1,,,,55636,87.60%,Oceania,,,2010
,,,,American Samoa,,,,,,,,,,,,,,,,1,,,,55274,87.50%,Oceania,,,2011
,,,,American Samoa,,,,,,,,,,,,,,,,1,,,,55128,87.40%,Oceania,,,2012
1.10%,,524,719.389,Andorra,,,,1133644295,6.20%,"$1,330 ",,,0.40%,0.1,,,,0.3,0.4,1,,,,65399,92.40%,Europe,,,2000
1.20%,,524,816,Andorra,,,,1264760246,5.60%,"$1,294 ",,,0.40%,,,,,0.4,0.4,1,,,,68000,92.10%,Europe,,,2001
1.10%,,532,788.029,Andorra,,,,1456198796,5.80%,"$1,486 ",,,0.40%,0.1,,,,0.4,0.5,1,,,,71639,91.60%,Europe,,,2002
1.00%,,535,756.43,Andorra,,,,1917948475,5.80%,"$1,891 ",,,0.30%,0.1,,,,0.7,0.7,1,,,,75643,91.20%,Europe,,,2003
1.10%,,565,869.66,Andorra,,,,2322163502,5.70%,"$2,193 ",,,0.30%,0.3,,,,0.7,0.7,1,,,,79060,90.80%,Europe,,,2004
1.10%,,576,893.453,Andorra,,,,2539759286,5.80%,"$2,356 ",,,0.30%,0.4,,,,0.8,0.8,1,,,,81223,90.30%,Europe,,,2005
1.10%,,546,900.647,Andorra,,,,2823503853,6.00%,"$2,631 ",,,0.30%,0.5,,,,0.8,0.8,1,,,,81877,89.80%,Europe,,,2006
1.00%,,539,812.92,Andorra,,,,3245411584,6.20%,"$3,012 ",,,0.30%,0.7,,,,0.8,0.8,1,,,,81292,89.40%,Europe,,,2007
1.00%,,539,799.69,Andorra,,,,3712034267,6.20%,"$3,105 ",,,0.30%,0.7,,,,0.8,0.8,1,,,,79969,88.90%,Europe,,,2008
1.00%,,517,786.59,Andorra,,,,,6.20%,"$2,762 ",,,0.30%,0.8,,,,0.8,0.8,1,,,,78659,88.40%,Europe,,,2009
1.00%,,517,779.07,Andorra,,,,,7.20%,"$2,958 ",,,0.20%,0.8,,,,0.8,0.8,1,,,,77907,87.80%,Europe,,,2010
,,,,Andorra,,,,,7.20%,"$3,053 ",,,0.20%,0.8,,,,0.8,0.8,1,,,,77865,87.30%,Europe,,,2011
1.00%,,,783.6,Andorra,,,,,8.30%,"$3,057 ",,,0.20%,0.9,,,,0.8,0.8,1,,,,78360,86.70%,Europe,,,2012
5.00%,,9542,696246.5,Angola,,,7499,9129594819,3.40%,$22 ,,,12.80%,0,103.20%,47,44,0,0,1,47.60%,49.90%,2.50%,13924930,32.40%,Africa,"$34,000,000 ","$146,000,000 ",2000
5.00%,,9732,719264.15,Angola,,,7883,8936079253,5.80%,$36 ,,,12.70%,0,96.00%,47,45,0,0,1,47.70%,49.90%,2.50%,14385283,33.20%,Africa,"$35,000,000 ","$80,000,000 ",2001
5.00%,,12666,744328.7,Angola,,,8304,12497346043,4.40%,$33 ,,,12.60%,0,97.30%,48,45,0,0,1,47.70%,49.90%,2.50%,14886574,33.90%,Africa,"$51,000,000 ","$52,000,000 ",2002
5.00%,,9065,771053.75,Angola,119,,9004,14188949240,4.90%,$45 ,,,12.50%,0,96.10%,49,46,0,0,1,47.70%,49.80%,2.50%,15421075,34.60%,Africa,"$63,000,000 ","$49,000,000 ",2003
5.00%,,18793,798835.75,Angola,119,,9676,19640862550,5.10%,$63 ,,,12.30%,0,82.30%,49,47,0,0,1,47.70%,49.80%,2.50%,15976715,35.40%,Africa,"$82,000,000 ","$86,000,000 ",2004
4.90%,52.10%,19156,810674.424,Angola,119,,9356,28233699240,4.20%,$71 ,226,272,12.20%,0,67.70%,50,47,0.1,0.1,1,47.80%,49.80%,2.50%,16544376,36.20%,Africa,"$103,000,000 ","$135,000,000 ",2005
4.90%,52.10%,22266,838998.041,Angola,119,,10006,41789494462,4.50%,$111 ,226,272,12.00%,0,19.50%,50,48,0.2,0.2,1,47.80%,49.70%,2.40%,17122409,36.90%,Africa,"$91,000,000 ","$393,000,000 ",2006
4.80%,52.10%,25152,850215.552,Angola,119,,10697,60448890972,3.40%,$115 ,226,272,11.70%,0,17.70%,51,48,0.3,0.3,1,47.90%,49.70%,2.40%,17712824,37.70%,Africa,"$236,000,000 ","$473,000,000 ",2007
4.80%,52.10%,26597,879093.168,Angola,68,,11584,84178086999,3.80%,$177 ,226,272,11.50%,0,12.50%,51,48,0.3,0.4,1,47.90%,49.70%,2.40%,18314441,38.50%,Africa,"$293,000,000 ","$447,000,000 ",2008
4.70%,52.10%,27836,889552.55,Angola,68,,12586,75492417649,4.40%,$174 ,226,272,11.20%,0.1,15.70%,52,49,0.4,0.4,1,47.90%,49.70%,2.40%,18926650,39.30%,Africa,"$554,000,000 ","$270,000,000 ",2009
4.60%,52.10%,30418,899259.704,Angola,66,,13378,82470894868,3.40%,$144 ,226,282,11.00%,0.1,22.50%,52,49,0.4,0.5,1,47.80%,49.80%,2.40%,19549124,40.10%,Africa,"$726,000,000 ","$275,000,000 ",2010
4.60%,52.10%,,928302.54,Angola,66,,13576,1.04E+11,3.40%,$178 ,226,282,10.70%,0.1,18.80%,53,50,0.5,0.5,1,47.70%,49.90%,2.40%,20180490,40.90%,Africa,"$653,000,000 ","$323,000,000 ",2011
4.50%,52.10%,,936923.625,Angola,66,178,,1.15E+11,3.50%,$190 ,226,282,10.40%,0.2,16.70%,53,50,0.6,0.6,1,47.60%,50.00%,2.40%,20820525,41.70%,Africa,"$711,000,000 ","$292,000,000 ",2012
2.00%,,345,1552.96,Antigua and Barbuda,,,,787693391,4.00%,$408 ,,,1.40%,0.1,12.20%,76,71,0.3,0.3,1,29.20%,63.70%,7.10%,77648,32.10%,The Americas,"$291,000,000 ","$31,000,000 ",2000
2.00%,,345,1579.44,Antigua and Barbuda,,,,778311557,4.40%,$429 ,,,1.30%,0.1,11.60%,76,71,0.3,0.3,1,29.10%,63.90%,7.00%,78972,31.70%,The Americas,"$272,000,000 ","$32,000,000 ",2001
2.00%,,363,1600.6,Antigua and Barbuda,,,,806505874,4.30%,$433 ,,,1.20%,0.1,11.40%,76,71,0.4,0.5,1,29.00%,64.00%,7.00%,80030,31.10%,The Americas,"$274,000,000 ","$33,000,000 ",2002
1.90%,,389,1537.176,Antigua and Barbuda,,,,849234754,4.40%,$457 ,,,1.20%,0.2,12.80%,77,72,0.5,0.6,1,28.80%,64.00%,7.10%,80904,30.50%,The Americas,"$300,000,000 ","$35,000,000 ",2003
1.90%,,407,1552.642,Antigua and Barbuda,,,135,905113767,4.10%,$453 ,,,1.10%,0.2,12.00%,77,72,0.6,0.7,1,28.60%,64.20%,7.20%,81718,29.80%,The Americas,"$337,000,000 ","$38,000,000 ",2004
1.90%,51.50%,411,1568.735,Antigua and Barbuda,31,,137,1001970945,4.50%,$544 ,113,184,1.10%,0.3,11.40%,77,72,1,1,1,28.30%,64.40%,7.30%,82565,29.20%,The Americas,"$309,000,000 ","$40,000,000 ",2005
1.80%,47.60%,425,1502.406,Antigua and Barbuda,21,,143,1141418340,4.50%,$607 ,113,184,1.00%,0.3,10.90%,77,72,1.3,1.3,1,28.00%,64.70%,7.30%,83467,28.60%,The Americas,"$327,000,000 ","$45,000,000 ",2006
1.80%,46.20%,444,1519.146,Antigua and Barbuda,21,,146,1289259236,4.60%,$698 ,113,184,1.00%,0.3,10.40%,77,72,1.3,1.3,1,27.60%,65.10%,7.30%,84397,28.00%,The Americas,"$338,000,000 ","$52,000,000 ",2007
1.80%,46.20%,458,1536.282,Antigua and Barbuda,21,,,1347407407,4.40%,$702 ,113,207,0.90%,0.4,10.40%,77,73,1.6,1.6,1,27.10%,65.60%,7.30%,85349,27.40%,The Americas,"$334,000,000 ","$58,000,000 ",2008
1.70%,41.00%,499,1467.1,Antigua and Barbuda,21,,,1206296296,4.60%,$638 ,113,207,0.90%,0.4,10.10%,78,73,1.5,1.6,1,26.70%,66.10%,7.30%,86300,26.80%,The Americas,"$305,000,000 ","$54,000,000 ",2009
1.70%,41.00%,513,1482.961,Antigua and Barbuda,21,,,1135555556,5.70%,$736 ,113,207,0.90%,0.5,11.00%,78,73,1.8,1.9,1,26.20%,66.50%,7.20%,87233,26.20%,The Americas,"$298,000,000 ","$52,000,000 ",2010
1.70%,41.00%,,1498.584,Antigua and Barbuda,21,,,1127037037,5.50%,$703 ,113,207,0.80%,0.5,10.90%,78,73,1.9,2,1,25.80%,67.00%,7.20%,88152,25.70%,The Americas,"$312,000,000 ","$50,000,000 ",2011
1.70%,41.00%,,1514.173,Antigua and Barbuda,21,66,,1194074074,5.20%,$681 ,113,207,0.80%,0.6,10.20%,78,73,1.4,1.4,1,25.40%,67.50%,7.10%,89069,25.10%,The Americas,,,2012
1.90%,,141077,701158.273,Argentina,,,60954,3.44E+11,9.20%,$710 ,,,1.80%,0.1,11.10%,78,70,0.2,0.2,1,27.90%,62.10%,9.90%,36903067,89.10%,The Americas,"$3,195,000,000 ","$5,460,000,000 ",2000
1.80%,,132632,670920.498,Argentina,,,57835,3.25E+11,9.40%,$676 ,,,1.80%,0.1,27.70%,78,70,0.2,0.2,1,27.60%,62.40%,10.00%,37273361,89.30%,The Americas,"$2,756,000,000 ","$4,888,000,000 ",2001
1.80%,,123266,677295.81,Argentina,,,55386,1.24E+11,8.30%,$225 ,,,1.70%,0.1,51.70%,78,71,0.2,0.2,1,27.30%,62.60%,10.10%,37627545,89.50%,The Americas,"$1,716,000,000 ","$2,744,000,000 ",2002
1.80%,,133127,683467.398,Argentina,66,,59047,1.57E+11,8.20%,$280 ,,,1.70%,0.1,19.10%,78,71,0.2,0.2,1,27.00%,62.90%,10.10%,37970411,89.70%,The Americas,"$2,306,000,000 ","$2,997,000,000 ",2003
1.80%,,156170,689558.022,Argentina,30,,67303,1.83E+11,8.20%,$327 ,,,1.60%,0.2,6.80%,78,71,0.3,0.4,1,26.60%,63.20%,10.20%,38308779,89.90%,The Americas,"$2,660,000,000 ","$3,208,000,000 ",2004
1.80%,107.50%,160952,695661.372,Argentina,30,,66973,2.23E+11,8.30%,$395 ,452,453,1.50%,0.2,6.20%,79,71,0.5,0.6,1,26.30%,63.40%,10.20%,38647854,90.10%,The Americas,"$3,209,000,000 ","$3,554,000,000 ",2005
1.80%,107.60%,174238,701800.614,Argentina,30,,73128,2.64E+11,8.30%,$454 ,452,453,1.50%,0.2,8.60%,79,71,0.8,0.8,1,26.00%,63.70%,10.30%,38988923,90.30%,The Americas,"$3,899,000,000 ","$4,038,000,000 ",2006
1.70%,107.60%,180416,668633.069,Argentina,30,,73673,3.30E+11,8.20%,$548 ,452,453,1.40%,0.3,11.10%,79,71,1,1,1,25.70%,63.90%,10.40%,39331357,90.40%,The Americas,"$4,984,000,000 ","$5,063,000,000 ",2007
1.70%,107.60%,190057,674493.411,Argentina,31,,77794,4.06E+11,8.30%,$686 ,452,453,1.40%,0.3,19.50%,79,72,1.1,1.2,1,25.40%,64.10%,10.40%,39676083,90.60%,The Americas,"$5,295,000,000 ","$5,962,000,000 ",2008
1.70%,107.60%,179639,680401.897,Argentina,26,,76075,3.78E+11,9.40%,$726 ,452,453,1.30%,0.3,15.70%,79,72,1.3,1.3,1,25.10%,64.30%,10.50%,40023641,90.80%,The Americas,"$4,476,000,000 ","$5,766,000,000 ",2009
1.70%,107.60%,180512,686361.808,Argentina,25,,78162,4.63E+11,8.20%,$751 ,452,453,1.30%,0.5,10.60%,79,72,1.3,1.4,1,24.90%,64.50%,10.60%,40374224,91.00%,The Americas,"$5,629,000,000 ","$6,375,000,000 ",2010
1.70%,107.70%,,692388.546,Argentina,25,,80112,5.58E+11,7.90%,$866 ,339,415,1.30%,0.5,14.10%,80,72,1.4,1.5,1,24.60%,64.60%,10.70%,40728738,91.10%,The Americas,"$6,060,000,000 ","$7,477,000,000 ",2011
1.70%,107.80%,,698477.759,Argentina,25,121,,6.03E+11,8.50%,$995 ,339,405,1.20%,0.6,14.10%,80,72,1.5,1.6,1,24.40%,64.80%,10.80%,41086927,91.30%,The Americas,"$5,655,000,000 ","$8,213,000,000 ",2012
1.30%,,3465,39989.274,Armenia,,,2015,1911563665,6.30%,$39 ,,,2.70%,0,31.60%,75,68,0,0,1,25.90%,64.10%,10.00%,3076098,64.70%,Asia,"$52,000,000 ","$56,000,000 ",2000
1.30%,,3542,39779.48,Armenia,,,2006,2118467913,5.90%,$41 ,,,2.50%,0,26.70%,75,68,0,0,1,25.00%,64.60%,10.40%,3059960,64.40%,Asia,"$81,000,000 ","$59,000,000 ",2001
1.30%,,3044,39611.026,Armenia,,,1876,2376335048,5.40%,$42 ,,,2.40%,0,21.10%,76,69,0,0,1,24.10%,65.10%,10.80%,3047002,64.30%,Asia,"$81,000,000 ","$85,000,000 ",2002
1.40%,,3429,42504.448,Armenia,18,,1981,2807061009,5.60%,$51 ,,,2.30%,0,20.80%,76,69,0,0,1,23.30%,65.50%,11.20%,3036032,64.30%,Asia,"$90,000,000 ","$97,000,000 ",2003
1.40%,,3645,42359.128,Armenia,18,,2095,3576615240,5.50%,$65 ,,,2.20%,0,18.60%,76,70,0,0.1,1,22.50%,66.00%,11.50%,3025652,64.20%,Asia,"$188,000,000 ","$216,000,000 ",2004
1.40%,36.60%,4360,42208.838,Armenia,18,,2512,4900436759,5.30%,$85 ,565,580,2.10%,0.1,18.00%,77,70,0.1,0.1,1,21.90%,66.50%,11.60%,3014917,64.20%,Asia,"$240,000,000 ","$284,000,000 ",2005
1.40%,36.60%,4382,42040.754,Armenia,17,,2559,6384457744,4.60%,$97 ,565,580,2.00%,0.1,16.50%,77,70,0.3,0.4,1,21.40%,67.00%,11.60%,3002911,64.20%,Asia,"$307,000,000 ","$321,000,000 ",2006
1.40%,38.80%,5068,41858.348,Armenia,17,,2853,9206301700,4.30%,$133 ,565,581,1.90%,0.1,17.50%,77,70,0.6,0.6,1,21.10%,67.60%,11.40%,2989882,64.10%,Asia,"$343,000,000 ","$345,000,000 ",2007
1.40%,38.60%,5556,41684.832,Armenia,17,,3004,11662040714,3.80%,$149 ,565,581,1.80%,0.1,17.00%,77,71,0.4,0.5,1,20.80%,68.10%,11.10%,2977488,64.00%,Asia,"$377,000,000 ","$383,000,000 ",2008
1.40%,38.60%,4353,41554.156,Armenia,14,,2610,8647936748,4.50%,$132 ,565,581,1.70%,0.2,18.80%,78,71,0.7,0.7,1,20.60%,68.60%,10.80%,2968154,63.80%,Asia,"$374,000,000 ","$379,000,000 ",2009
1.40%,38.60%,4221,41488.944,Armenia,14,,2483,9260287416,4.60%,$143 ,565,581,1.60%,0.3,19.20%,78,71,1.3,1.3,1,20.50%,68.90%,10.50%,2963496,63.60%,Asia,"$456,000,000 ","$466,000,000 ",2010
1.40%,38.80%,,41497.68,Armenia,8,,2716,10142342770,3.70%,$127 ,452,500,1.50%,0.3,17.80%,78,71,1,1.1,1,20.40%,69.20%,10.40%,2964120,63.40%,Asia,"$486,000,000 ","$546,000,000 ",2011
1.40%,38.80%,,41567.134,Armenia,8,40,,9958217880,4.50%,$150 ,339,380,1.50%,0.4,17.20%,78,71,1.1,1.1,1,20.30%,69.30%,10.30%,2969081,63.20%,Asia,"$487,000,000 ","$556,000,000 ",2012
1.40%,,2233,1272.012,Aruba,,,,1873452514,,,,,,0.2,12.10%,76,71,0.1,0.2,1,23.20%,69.20%,7.60%,90858,46.70%,The Americas,"$850,000,000 ","$163,000,000 ",2000
1.40%,,2237,1300.516,Aruba,,,,1920262570,,,,,,0.2,12.10%,76,71,0.5,0.6,1,22.90%,69.40%,7.80%,92894,46.30%,The Americas,"$825,000,000 ","$156,000,000 ",2001
1.30%,,2255,1234.935,Aruba,,,,1941094972,,,,,,0.2,13.10%,76,71,0.6,0.7,1,22.50%,69.50%,7.90%,94995,46.00%,The Americas,"$835,000,000 ","$172,000,000 ",2002
1.30%,,2255,1261.195,Aruba,,,,2021301676,,,,,,0.2,11.50%,76,72,0.7,0.7,1,22.10%,69.80%,8.10%,97015,45.60%,The Americas,"$858,000,000 ","$213,000,000 ",2003
1.30%,,2259,1283.646,Aruba,,,,2228279330,,,,,,0.2,11.60%,77,72,0.9,1,1,21.70%,69.90%,8.30%,98742,45.20%,The Americas,"$1,056,000,000 ","$248,000,000 ",2004
1.20%,,2274,1200.372,Aruba,,,,2331005587,,,,,,0.3,11.50%,77,72,1,1,1,21.50%,69.90%,8.60%,100031,44.90%,The Americas,"$1,097,000,000 ","$250,000,000 ",2005
1.20%,,2274,1209.96,Aruba,,,,2421474860,,,,,,0.3,11.30%,77,72,1,1.1,1,21.30%,69.80%,8.90%,100830,44.50%,The Americas,"$1,064,000,000 ","$241,000,000 ",2006
1.20%,,2358,1214.628,Aruba,,,,2623726257,,,,,,0.3,11.00%,77,72,1.1,1.1,1,21.20%,69.60%,9.20%,101219,44.10%,The Americas,"$1,213,000,000 ","$270,000,000 ",2007
